gender,position,workplace_study
,,
male,,
female,,
male,attending,
female,attending,
male,student,
female,student,
male,resident,
female,resident,
male,,world-class institution
female,,world-class institution
male,,regional-level institution
female,,regional-level institution
,attending,
,resident,
,student,
,attending,world-class institution
,attending,regional-level institution
,resident,world-class institution
,resident,regional-level institution
,student,world-class institution
,student,regional-level institution
,,world-class institution
,,regional-level institution
male,attending,world-class institution
female,attending,world-class institution
male,attending,regional-level institution
female,attending,regional-level institution
male,resident,world-class institution
female,resident,world-class institution
male,resident,regional-level institution
female,resident,regional-level institution
male,student,world-class institution
female,student,world-class institution
male,student,regional-level institution
female,student,regional-level institution
